"Client","Project","Service Request","Sample","Lab Code","Sample Type","Date Collected","Date Received","Date Extracted","Date Analyzed","Extraction Method","Method","Matrix","Basis","Units","Component","Dilution Factor","Reporting Limit","Detection Limit","Result","Result Notes","Spike Concentration","Percent Recovery","Acceptance Limits","Average","RPD","Retention Time","Regulatory Limit"
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10.1-KENAI RIVER","K2405043-006","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","1600","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 10.1-KENAI RIVER","K2405043-006","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","2.1","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 12.5-PILLARS","K2405043-007","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","11600","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 12.5-PILLARS","K2405043-007","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.82","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 12.5-PILLARS","K2405043-007","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","456","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 12.5-PILLARS","K2405043-007","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","1440","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 12.5-PILLARS","K2405043-007","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","1.1","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 18-POACHER'S COVE","K2405043-008","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","11600","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 18-POACHER'S COVE","K2405043-008","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.80","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 18-POACHER'S COVE","K2405043-008","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","447","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 18-POACHER'S COVE","K2405043-008","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","1440","=","","","","","","",""
