"sample_id","collect_date","collect_time","lab_sample_id","sample_type","rec_date","rec_time","run_date","run_time","anl_batch","prp_batch","extraction_code","extracted_date","extracted_time","analyte","cas_number","analyte_flag","analytical_method","result","resultflag","repdl","limit_definition","units","analytical_cut","initial_wt_vol","final_vol","amount_spiked","percent_recovery","rec_limit_low","rec_limit_high","initial_conc","sample_rpd","rpd_limit_low","rpd_limit_high","rep_sig_digs","analysis_group","method_order","analte_order","loq","lod","dl","sdg","run_date_time","percent_recovered","allowable_limit","analyte_order","lab_name","matrix","site_id","monitoring_location_id"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Zinc","7440-66-6","N","EP200.8",6.58,"J",5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Dissolved Metals by ICP/MS",17,NA,10,5,3.1,"1233640","07/27/2023 17:06",NA,NA,32,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
"RM 1.5- Kenai City Dock","2023-07-18","10:30:00","1233640028","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Calcium","7440-70-2","N","EP200.8",16800,"=",250,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals by ICP/MS",15,NA,500,250,150,"1233640","07/27/2023 17:51",NA,NA,8,"SGS North America, Anchorage, Alaska","Water","RM 1.5- Kenai City Dock","10000002"
"RM 1.5- Kenai City Dock","2023-07-18","10:30:00","1233640028","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Copper","7440-50-8","N","EP200.8",23.4,"=",1.5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals by ICP/MS",15,NA,3,1.5,1,"1233640","07/27/2023 17:51",NA,NA,11,"SGS North America, Anchorage, Alaska","Water","RM 1.5- Kenai City Dock","10000002"
"RM 1.5- Kenai City Dock","2023-07-18","10:30:00","1233640028","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Iron","7439-89-6","N","EP200.8",15900,"=",125,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals by ICP/MS",15,NA,250,125,78,"1233640","07/27/2023 17:51",NA,NA,12,"SGS North America, Anchorage, Alaska","Water","RM 1.5- Kenai City Dock","10000002"
"RM 1.5- Kenai City Dock","2023-07-18","10:30:00","1233640028","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Magnesium","7439-95-4","N","EP200.8",8660,"=",25,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals by ICP/MS",15,NA,50,25,15,"1233640","07/27/2023 17:51",NA,NA,14,"SGS North America, Anchorage, Alaska","Water","RM 1.5- Kenai City Dock","10000002"
"RM 1.5- Kenai City Dock","2023-07-18","10:30:00","1233640028","PS","2023-07-18","17:04:00",NA,NA,"MMS12014","MXX36032","E200.2","2023-07-25","12:56:00","Zinc","7440-66-6","N","EP200.8",69.6,"=",5,"LOD","ug/L",1,20,50,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals by ICP/MS",15,NA,10,5,3.1,"1233640","07/27/2023 17:51",NA,NA,32,"SGS North America, Anchorage, Alaska","Water","RM 1.5- Kenai City Dock","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"WFI3055",NA,NA,NA,NA,"Total Nitrate/Nitrite-N","Nitrate+Nitrite","N","SM21 4500NO3-F",0.197,"J",0.1,"LOD","mg/L",2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,"Waters Department",20,NA,0.2,0.1,0.05,"1233640","07/20/2023 16:07",NA,NA,11,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"WDA5565","WXX14863","SM21 4500P-B,E","2023-07-31","10:35:00","Total Phosphorus","Total Phosph.","N","SM21 4500P-B,E",0.888,"=",0.1,"LOD","mg/L",5,25,25,NA,NA,NA,NA,NA,NA,NA,NA,3,"Waters Department",20,NA,0.2,0.1,0.06,"1233640","07/31/2023 13:48",NA,NA,266,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"VMS22601","VXX40176","SW5030B","2023-07-25","06:00:00","Benzene","71-43-2","N","SW8260D",0,"U",0.2,"LOD","ug/L",1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,"Volatile GC/MS",90,NA,0.4,0.2,0.12,"1233640","07/25/2023 20:55",NA,NA,1,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
"RM1.5-Kenai City Dock","2023-07-18","10:30:00","1233640003","PS","2023-07-18","17:04:00",NA,NA,"VMS22601","VXX40176","SW5030B","2023-07-25","06:00:00","Ethylbenzene","100-41-4","N","SW8260D",0,"U",0.5,"LOD","ug/L",1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,"Volatile GC/MS",90,NA,1,0.5,0.31,"1233640","07/25/2023 20:55",NA,NA,3,"SGS North America, Anchorage, Alaska","Water","RM1.5-Kenai City Dock","10000002"
